Model,Video_file,Annotation_file
ka32,Amazing sound Kamov ka-32.mp4,Annotation_amazing.csv
ka32,Russian Kamov Ka-32 Helicopter Landing & Take Off in CYYF.mp4,Annotation_russian.csv
ka32,Kamov KA32 helicopter korea forest service water pump up during fire fighting(HL9481).mp4,Annotation_korea.csv
ka32,"Kamov Ka-32 Heliswiss Startup, Take-Off & Landing.mp4",Annotation_heliswiss.csv
ka32,Kamov Ka-32 Landing.mp4,Annotation_landing.csv
ka32,Kamov Ka-32 Heavy Lift Helicopter of Heliswiss - Start up & Take Off.mp4,Annotation_heavy.csv
ka32,Kamov Ka-32 Helicopter Engine Startup and Takeoff.mp4,Annotation_helicopter.csv
as355n,Eurocopter AS355 Helicopter Twin Engine Take off.mp4,Annotation_helicopter_twin.csv
as355n,EHS 2012 - Eurocopter AS-355N dynamic demo flight.mp4,Annotation_dynamic.csv
as355n,FlyMeNow Helicopter Charter - Eurocopter AS355 'Twin Squirrel' - Start-up and Take-off....mp4,Annotation_flymenow.csv
as355n,"AS355 TwinStar Helicopter Engine Start, Takeoff & Landing Van Nuys Airport.mp4",Annotation_helicopter_engine.csv
as355n,Helifirst Eurocopter AS355N Ecureuil F-GMBL Helicopter _ Take Off from Paris Heliport.mp4,Annotation_helifirst.csv
as355n,"Eurocopter AS-355 TwinStar startup, take off at Budaörs airfield.mp4",Annotation_budaors.csv
as355n,Eurocopter AS355 - Servei Català de Trànsit.mp4,Annotation_servei.csv
as355n,Aterratge nocturn Eurocopter AS355 Ecureuil 2 EC-KAF Servei Català Transit- Helicopter night landing.mp4,Annotation_aterratge.csv
as355n,Helicòpter Mossos d'esquadra AS355 NP EC-LHE @ Complex Central Egara (Sabadell).mp4,Annotation_mossos.csv
as355n,"Aerospatiale AS-355 F2 engine Startup & Takeoff near Körmend, Hungary.mp4",Annotation_aerospatiale.csv
h145,Airbus Helicopters H145 from ADAC Luftrettung at Klinikum Großhadern.mp4,Annotation_adac.csv
h145,EC145 T2 Demo Flight Malaysia.mp4,Annotation_demo.csv
h145,Airbus Helicopters H145 I-MADE - Hospital Vall d'Hebron (Barcelona).mp4,Annotation_made.csv
h145,An inside look at the Airbus H145 flown by STARS.mp4,Annotation_inside.csv
b412,Bell 412 Approach.mp4,Annotation_approach.csv
b412,Rescue Bell 412 fast departure & sunset arrival.mp4,Annotation_rescue.csv
b412,Bell 412 Air Ambulance Engine Startup and Takeoff.mp4,Annotation_air.csv
b412,Bell 412 Helicopter Arrives in Tasmania.mp4,Annotation_arrives.csv
b412,Australian Helicopters Bell 412 - [VH-VAU].mp4,Annotation_australian.csv
a109,"Agusta A109 Power Elite, D-HARI, (Haribo) - wheels are made for rolling.mp4",Annotation_power_elite.csv
a109,Agusta A109 Helicopter Crashed on 11-06-2020 at Keck Hospital USC - previous video of N109EX Landing.mp4,Annotation_crashed.csv
a109,Agusta A109E Takeoff JA6801.mp4,Annotation_a109e_takeoff.csv
a109,Helicóptero Agusta A109 Decolagens e Pouso Compilação Com Fonia.mp4,Annotation_decolagens.csv
a109,Agusta A109.mp4,Annotation_augusta_a109.csv
a109,Agusta-Westland A109 E OM-TTV Power helicopter dynamic demo flight _ Poprad Airshow 2012.mp4,Annotation_power.csv
a109,Private Agusta A-109 Landing & Takeoff at London Heliport [EGLW].mp4,Annotation_private.csv
a109,Aw109SP.mp4,Annotation_aw109sp.csv
a109,Incredible departure Agusta-Westland A109 Grand at London Heliport!.mp4,Annotation_incredible.csv
a109,"Agusta A109 helicopter in training, landing and taking off.mp4",Annotation_training.csv
a109,Agusta A109 helicopter landing engine start and takeoff London Heliport.mp4,Annotation_helicopter_landing.csv
a109,RNZAF Launch the all new A109 Helicopter.mp4,Annotation_rnzaf.csv
a109,Agusta A109 Corporate Helicopter Engine Start & Takeoff - N433AK Van Nuys Airport.mp4,Annotation_corporate.csv
w3,🚁 Rare 🚁 Polish Border Guard PZL W-3 Sokol Helicopter _ Start Up and Take Off at Nancy Essey Airport.mp4,Annotation_Rare.csv
w3,Philippine Air Force - PZL W-3 Sokol Helicopter Close-up View Landing.mp4,Annotation_Phillipine.csv
w3,Vrtulník W-3A SOKOL Start_Helicopter PZL W-3 Sokół - Startup and Takeoff.mp4,Annotation_Vrtulnik.csv
w3,Saving lives with the W-3 Sokół in the Canary Islands.mp4,Annotation_Saving.csv
w3,EHS 2013 - PZL-Swidnik W-3A Sokol demonstration flight.mp4,Annotation_EHS.csv
ch7,helicopter ultralight CH7 Charlie.mp4,Annotation_ultralight.csv
ch7,CH-7 UL-Heli.mp4,Annotation_heli.csv
ch7,CH7 Kompress Helicopter.mp4,Annotation_kompress.csv
ch7,Mr.Erich CH-7 Kompress.mp4,Annotation_mrerich.csv
ch7,yt1s.com - JeanPierre Fallis CH7 Kompress flight_360p.mp4,Annotation_jeanpierre.csv
ch7,"Helicopter CH-7 Kompress, Landing Madrisahorn, 2'700m.mp4",Annotation_landing.csv
r22,R-22 start up and take off.mp4,Annotation_r22.csv
r22,Robinson R22 Engine Start-up! Great sound!.mp4,Annotation_robinson.csv
r22,EHS 2012 - Robinson R-22 demonstration flight(1).mp4,Annotation_ehs.csv
b212,Bell 212 Helicopter Approach and Landing.mp4,Annotation_approach.csv
b212,yt1s.com - Bell 212 Twin Huey engine start and take off from Karres Heli Austria base.mp4,Annotation_yt1s.csv
b212,"Bell 205 Engine Start-up and Takeoff, Awesome Sound!.mp4",Annotation_awesome.csv
b212,Bell 212 Helicopter Engine Startup and Takeoff.mp4,Annotation_helicopter_engine.csv
b212,BELL 212 Start-Up & Takeoff to Fight Wildfire N9122Z.mp4,Annotation_fight.csv
b212,Bell 212 Helicopter Landing.mp4,Annotation_helicopter_landing.csv
b212,Bell 212 Engine Startup and Takeoff.mp4,Annotation_212_engine.csv
b212,Croatian Police Agusta AB-212 9A-HBM - Close-up Takeoff.mp4,Annotation_croatian.csv
uh1,USA RAN UH-1 Huey Helicopter Start & departure from the Lone Tree Cemetery.mp4,Annotation_usa.csv
uh1,Vietnam Huey Helicopter UH-1 25th Infantry Division.mp4,Annotation_vietnam.csv
uh1,Huey Helicopter start up and take off at Casino New South Wales Australia with Breast Cancer Sticker.mp4,Annotation_huey.csv
uh1,EPIC Bell UH-1 HUEY Helicopter Flight!.mp4,Annotation_epic.csv
uh1,"UH1 Huey, fly over and landing..mp4",Annotation_uh1.csv
uh1,"UH-1N Flyby, Landing, and Takeoff.mp4",Annotation_uh-1.csv
b407,yt1s.com - Helicopter Bell 407 Take Off.mp4,Annotation_take.csv
b407,"Bell 407 Start-Up, Takeoff & Landing San Francisco Helicopters Tour N73SF.mp4",Annotation_francisco.csv
b407,"Bell 407 medical helicopter landing at Modesto, CA.mp4",Annotation_modesto.csv
b407,yt1s.com - Bell 407 Startup and takeoff.mp4,Annotation_and.csv
b407,Bell 407 GX Helicopter review.mp4,Annotation_review.csv
b407,Bell 407 Start-Up & Takeoff Skylife Air Ambulance Helicopter N408AM _ N445SL.mp4,Annotation_skylife.csv
aw139,AW 139 take-off.mp4,Annotation_take.csv
aw139,AW139 in American EMS and SAR Operations.mp4,Annotation_american.csv
aw139,AW139 G-DVIO - LONDON HELIPORT SERIES EP. 44.mp4,Annotation_london.csv
aw139,Helicopter Leonardo AW139 JA777R VIP Flight.mp4,Annotation_leonardo.csv
aw139,AgustaWestland AW139 Start-Up & Take-Off at Heliport Bern.mp4,Annotation_bern.csv
aw139,Landing & Take off Luxurious helicopter LEONARDO AW139.mp4,Annotation_luxurious.csv
r44,Robinson R44 Raven II Helicopter PH-ANK Teuge Airport 27 April 2020.mp4,Annotation_teuge.csv
r44,yt1s.com - Robinson R44 demo from Maxim Sotnikov Konakovo Russia.mp4,Annotation_yt1s.csv
r44,Robinson R44 Raven detailed helicopter review and flight.mp4,Annotation_raven.csv
r44,First Helicopter Lesson! Robinson R44.mp4,Annotation_first.csv
r44,R44 Helicopter F-GLOU Wobbly hover in the wind -- Cannes Mandelieu December 2020.mp4,Annotation_wobbly.csv
r44,The World’s Best Selling Civilian Helicopter Robinson R44.mp4,Annotation_the.csv
r44,"Robinson R44 Start-Up, Takeoff & Landing - Helicopter N234NL.mp4",Annotation_robinson.csv
ec130,Eurocopter EC130 B4 (Airbus Helicopters H130) takeoff & landing.mp4,Annotation_takeoff.csv
ec130,N130CS - H130_EC130T2 Taking Off and Landing.mp4,Annotation_taking.csv
ec130,Airbus Helicopters EC130 T2.mp4,Annotation_airbus.csv
ec130,Awesome Sound of Eurocopter EC130 B4 T2 Helicopter Take-Off.mp4,Annotation_awesome.csv
ec130,"Eurocopter EC130 B4 Landings, Takeoffs, Fly-by.mp4",Annotation_landings.csv
ec130,Eurocopter EC130 B4 I-IVIP Close-up Takeoff - Split Airport LDSP_SPU.mp4,Annotation_close.csv
ec135,Police 03 PH-PXC Eurocopter EC135 P2 Landing & Departure Teuge Airport 5 jan 2020.mp4,Annotation_police.csv
ec135,NASA's New Airbus H135 Helicopters Arrive At KSC.mp4,Annotation_nasa.csv
ec135,Amazing Eurocopter EC135 flight display - Germany Air Force.mp4,Annotation_amazing.csv
ec135,The best helicopter ever - Eurocopter EC135 (now Airbus Helicopters H135).mp4,Annotation_best.csv
ec135,"Airbus Helicopters Ec-145 T2 promotion flight in Hungary, Budaörs.mp4",Annotation_airbus.csv
ec135,Life Flight H135 in Florence.mp4,Annotation_life.csv
ec135,"Eurocopter EC-135 engine start, take off and night landing at Budaörs Medical Base.mp4",Annotation_engine.csv
ec135,Eurocopter EC-135T2 startup and take off from Budaörs Medical Base I..mp4,Annotation_startup.csv
ec120,Eurocopter EC 120 OE-XST helicopter takeoff- landing _ HeliDays Austria 2013 _ HD.mp4,Annotation_takeoff.csv
ec120,Eurocopter EC120B Colibri HA-EUR Demo.mp4,Annotation_demo.csv
ec120,AIRBUS EC120 HELICOPTER COMINGS & GOINGS.mp4,Annotation_comings.csv
ec120,Eurocopter EC120B Colibri Landing and Takeoff from Vancouver Heliport.mp4,Annotation_landing.csv
ec120,Eurocopter EC 120 B Colibri HA-EUR helicopter arrives at Drava Heliport _ Awesome Sound!.mp4,Annotation_arrives.csv
ec120,Kiev Helicopter Tour Robinson R44 and Eurocopter EC-120.mp4,Annotation_kiev.csv
ec120,Eurocopter EC120 C-GKWN landing at the Vancouver Harbour Heliport.mp4,Annotation_vancouver.csv
ec120,EC120 Colibri Start-Up & Takeoff - Helicopter N383ED.mp4,Annotation_startup.csv
ec120,G-DMEM Eurocopter EC120.mp4,Annotation_gdmem.csv
b206,Bell 206 JetRanger Helicopter Departure Pasadena Police Department N8NF.mp4,Annotation_pasadena.csv
b206,Bell 206 JetRanger helicopter takeoff and landing.mp4,Annotation_helicopter_takeoff.csv
b206,"How To Stow A Helicopter - Bell 206 Long Ranger Land, Shutdown & Garage.mp4",Annotation_stow.csv
b206,yt1s.com - Bell 206 Jetranger Taking off from the Hanger.mp4,Annotation_jetranger_taking.csv
b206,Helicopter B206 Coming in to land.mp4,Annotation_coming.csv
b206,Bell 206 JetRanger start up and take off.mp4,Annotation_jetranger_start.csv
b206,Landing of our Helicopter (Bell 206 Long Range) into the Devonshire Arms from Leeds.mp4,Annotation_devonshire.csv
b206,yt1s.com - Bell 206 JetRanger instagram helithree.mp4,Annotation_instagram.csv
b206,N828HA - Bell 206 JetRanger Landing.mp4,Annotation_jetranger_landing.csv
b47g,Helicopter Bell 47 in Switzerland.mp4,Annotation_switzerland.csv
b47g,Bell 47 G-2 Flight Instruction - Helicopter Spotting!.mp4,Annotation_spotting.csv
b47g,A Little Bell 47 Action.mp4,Annotation_little.csv
b47g,"Bell 47 G-2 Helicopter Full Sound Engine Start Take Off Old School, Old Skool, Classic, Aviation..mp4",Annotation_full.csv
b47g,Bell 47 in Mainz-Finthen.mp4,Annotation_mainz.csv
b47g,Westland Bell 47 Sioux 'MASH' Helicopter.mp4,Annotation_sioux.csv
b47g,Bell 47 Startup and special Takeoff by skilled Pilot.mp4,Annotation_special.csv
exec,yt1s.com - Rotorway Exec 90 informational video_360p.mp4,Annotation_informational.csv
exec,RotorWay Exec 162F.mp4,Annotation_162f.csv
exec,Rotorway Exec 2.0 Build It Yourself Helicopter.mp4,Annotation_exec.csv
exec,Turbo RotorWay Helicopter water landing for search & rescue.mp4,Annotation_turbo.csv
exec,Rotorway Helicopter at lower creek.mp4,Annotation_lower.csv
exec,Rotorway Helicopter at The Handy Mart 4.mp4,Annotation_rotorway.csv
exec,ROTORWAY 162F.mp4,Annotation_r162f.csv
exec,yt1s.com - RotorWay EXEC 162 Startup at Fazenda Santa Ines PPXBF_360p.mp4,Annotation_startup.csv
as350,Eurocopter AStar AS350 Helicopter Compilation.mp4,Annotation_astar.csv
as350,"Fox 11 News AStar Helicopter Start Up, Depart & Landing AS350 N211FN Van Nuys Airport 2018 H125.mp4",Annotation_fox.csv
as350,AS350 Start-Up & Takeoff - Helicopter (N531B) American Eurocpter (Airbus H125).mp4,Annotation_american.csv
as350,"AS350 KTLA 5 NEWS Engine Start, Takeoff - N925TV Helicopter Pilot Tim Lynn (Airbus H125).mp4",Annotation_ktla.csv
a119,yt1s.com - _360p.mp4,Annotation_yt1s.csv
a119,Agusta A119 Koala Engine Start Up and Take Off.mp4,Annotation_koala_engine.csv
a119,AgustaWestland AW119 Koala Air Ambulance landing and departing.mp4,Annotation_augustawestland.csv
a119,Agusta_Leonardo AW119 Koala N119LW take off from Brandywine Airport.mp4,Annotation_augusta_leonardo.csv
a119,Agusta A119 'koala' (N119SX) at EGCB.mp4,Annotation_egcb.csv
a119,Agusta A119 Helicopter Landing - Austin Executive - KEDC.mp4,Annotation_helicopter.csv
bo105,MBB Bölkow BO105 Startup and Takeoff.mp4,Annotation_mbb_bolkow.csv
bo105,MBB Bo 105 Bölkow Helicopter Landing at Bern.mp4,Annotation_105_bolkow.csv
bo105,Décollage - Takeoff helicopter MBB Bo 105.mp4,Annotation_decollage.csv
bo105,"Cockpit Start-Up, Takeoff & Landing Bo-105 Red Bull Helicopter Pilot Aaron Fitzgerald N154EH.mp4",Annotation_cockpit.csv
bo105,Exhibición helicóptero MBB BO-105 de la Guardia Civil..mp4,Annotation_exhibicion.csv
bo105,Eurocopter MBB Bo-105 CBS-5 FULL START UP and TAKE OFF.mp4,Annotation_full.csv
bo105,"MBB BO-105 Startup & Takeoff at Budaörs Airfield, LHBS.mp4",Annotation_budaors.csv
bo105,Helicopter Bo-105.mp4,Annotation_helicopter_bo105.csv
bo105,Worlds Most Powerful Helicopter BO 105 LS A3 C30P.mp4,Annotation_worlds.csv
